"trail","efk","vark","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","y.true"
1,0.362745022441513,0.0307779750000371,"B","A","A","A","B","0.375835098947003","0.453781448648546","0.420409966219752","0.0681726838055478","0.162211301440962",0.5
2,0.194174446718584,0.0319337694688308,"B","C","C","C","A","0.539143750632218","0.341274995647039","0.211405487710366","0.740960827827457","0.592333398514348",0
3,0.511706655450485,0.0231823980169055,"C","B","B","C","C","0.442238668017032","0.20298189910975","0.95577371044503","0.69080937988603","0.593003109633728",0.5
4,0.433596053258789,0.0167425001199543,"A","C","B","A","B","0.162469181435836","0.415087637002558","0.0826784778158444","0.175313330989966","0.230377935903608",0
5,0.200915450778127,0.0192838200996674,"A","A","A","A","B","0.810298209522004","0.106439205967384","0.329800410993899","0.439573767547","0.870271747742885",0
6,0.381251693981047,0.0186459591591791,"C","C","C","C","C","0.855285259972427","0.772445194823317","0.944166593233047","0.993756102424963","0.874979744229946",0.5
7,0.0267939620838301,0.0282815471235525,"A","A","C","C","C","0.712537969595701","0.829922214711941","0.896307587484438","0.960733616799594","0.757305199361198",0
8,0.524714576557135,0.0174420124983931,"C","C","C","C","C","0.944303236194035","0.613567858570996","0.767804692932869","0.795909188362924","0.984004113926375",0.5
9,0.371318969935191,0.0159448446274438,"C","C","C","C","C","0.903777441497953","0.997914399399603","0.902180292423552","0.967501682707021","0.881423731069497",0.5
10,-0.0586194577461525,0.0324649792477332,"A","A","A","C","A","0.232259066992073","0.228609120404555","0.190318249474393","0.460137097170097","0.53578035355376",0
11,0.175680411870335,0.023050290891959,"B","B","C","C","B","0.624180728241479","0.588376917378651","0.0962700954059723","0.441078841280435","0.650353337584572",0.5
12,0.459566021658328,0.0258334355770168,"C","C","C","C","C","0.577950567523833","0.825504203246514","0.865119207326095","0.626305746766604","0.83590872123068",0.5
13,0.150676563025367,0.0267584264399971,"A","B","A","B","A","0.0927122080405864","0.708555358805208","0.306120338698236","0.0162367743253262","0.485080994411678",0
