"trail","efk","vark","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
1,0.159048982154144,0.030224322327399,0.380333036128114,0.202217348704814,0.327641138060296,0.261274629515023,0.43586744491737,0.375835098947003,0.453781448648546,0.420409966219752,0.0681726838055478,0.162211301440962
2,0.493388172662499,0.032594781854077,0.582133223421469,0.906827655759321,0.80759142626175,0.688735733937415,0.177088218905332,0.539143750632218,0.341274995647039,0.211405487710366,0.740960827827457,0.592333398514348
3,-0.00750842568844097,0.0225386376622337,0.861997850393991,0.642640943690916,0.396881077379646,0.779472751161128,0.816710212357954,0.442238668017032,0.20298189910975,0.95577371044503,0.69080937988603,0.593003109633728
4,0.714298435335944,0.0171093018034656,0.244245112425966,0.884133375519568,0.432364202654016,0.0887598615034591,0.583485325649913,0.162469181435836,0.415087637002558,0.0826784778158444,0.175313330989966,0.230377935903608
5,0.490049936234696,0.0195766024458572,0.254851763729996,0.0146065474351803,0.129085354177754,0.284704982563541,0.584909415729954,0.810298209522004,0.106439205967384,0.329800410993899,0.439573767547,0.870271747742885
6,0.193652255570249,0.0184309299796682,0.740882710935328,0.900615091911204,0.80124382835924,0.73041300222274,0.996251745283946,0.855285259972427,0.772445194823317,0.944166593233047,0.993756102424963,0.874979744229946
7,0.0267939620838301,0.0282815471235525,0.298226824970109,0.223752320384074,0.920221814506891,0.832682310021914,0.826574299242713,0.712537969595701,0.829922214711941,0.896307587484438,0.960733616799594,0.757305199361198
8,0.315014004397489,0.0170746036011433,0.989236796251274,0.989039965788495,0.934705641541982,0.874429273444327,0.889723596195995,0.944303236194035,0.613567858570996,0.767804692932869,0.795909188362924,0.984004113926375
9,0.171042026652731,0.0156157635460505,0.895638478343682,0.920505772615716,0.908185157806911,0.734882423610161,0.911657988203492,0.903777441497953,0.997914399399603,0.902180292423552,0.967501682707021,0.881423731069497
10,-0.0586194577461525,0.0324649792477332,0.0798719700752214,0.324299694302312,0.0368543281379593,0.741209850971563,0.0398222979549887,0.232259066992073,0.228609120404555,0.190318249474393,0.460137097170097,0.53578035355376
11,-0.292013081267939,0.0229136531154691,0.444608327094105,0.494085460290013,0.828173060361446,0.678675741011017,0.399593338688987,0.624180728241479,0.588376917378651,0.0962700954059723,0.441078841280435,0.650353337584572
12,0.254766180794041,0.0254879051943642,0.924350219289117,0.821549713951567,0.953980456823336,0.890825516221152,0.991323416842877,0.577950567523833,0.825504203246514,0.865119207326095,0.626305746766604,0.83590872123068
13,0.150676563025367,0.0267584264399971,0.0422677442830734,0.418950436156149,0.234762819250874,0.396937490785628,0.186106397749519,0.0927122080405864,0.708555358805208,0.306120338698236,0.0162367743253262,0.485080994411678
14,0.0743609484444342,0.021597511147634,0.0701066781719109,0.0213665223205635,0.161044444739917,0.383735762937924,0.335119984387033,0.386122943937799,0.623219301594753,0.41617188877997,0.0794769659506405,0.259474144486702
15,0.0677947025538789,0.0179501047803021,0.249846388556219,0.708485187746693,0.330241806486808,0.297076770701061,0.0243339954573367,0.411210636741412,0.746567334602296,0.387152765211633,0.558569614372352,0.475223519147436
16,0.442882840705337,0.0250363311613764,0.849399640966851,0.258953651020053,0.950257720739671,0.785255469694866,0.548885102652088,0.564347361721243,0.727672990260652,0.816774008516533,0.82208533345182,0.97038908212848
17,-0.241751126849321,0.0214706011444797,0.563773387397826,0.0180683012942932,0.026806941501261,0.42433715183891,0.789840052715652,0.0651364887402991,0.63468385002741,0.706101830512862,0.505078840445575,0.0652497484340118
18,0.215089464299356,0.0235032939605469,0.718121892986674,0.857486019543441,0.714509485300416,0.855961607325501,0.882694676694054,0.632582707047957,0.481274570235724,0.70630429124619,0.776805317075555,0.406946346319303
19,0.413675119667714,0.029993529679549,0.616439780003838,0.489867740426778,0.434341932355657,0.22086405441049,0.665045940540186,0.36124607587596,0.0911126502334668,0.54208002206947,0.860441689258638,0.687428841545193
20,-0.0459088014358274,0.0340526266864515,0.490753532049386,0.50398907415379,0.686581123436998,0.873863637890751,0.389285072654778,0.493023397757557,0.959933633791761,0.109301478410866,0.795592253130277,0.759940401577074
21,0.0796438167774614,0.0346757517697799,0.595165815054606,0.252090106628869,0.305500095302258,0.591844838184632,0.623658760980993,0.701131895064091,0.683464029236822,0.511284628702044,0.413046319168281,0.0165742170459528
22,0.812748063675666,0.0535226207083164,0.662886817538461,0.570701969828677,0.985037396464365,0.67584934220929,0.825933317510227,0.705052237982292,0.942435600250049,0.987627157495223,0.963457450039192,0.967027266650561
23,0.798912055249856,0.0265973210490663,0.873468351021417,0.182762532266418,0.0290645421153424,0.169567747744211,0.444102020434132,0.68723469679779,0.495448491621921,0.761090952585356,0.576184063167822,0.414679865671263
24,0.65779937652317,0.0392560136459999,0.441179168767899,0.221722190512292,0.208110226177572,0.0799924512353275,0.386031211637325,0.1098184969722,0.604291596334043,0.413086103906553,0.699216121587169,0.092049899554764
25,0.586724979478562,0.0250698579322406,0.493137980506172,0.239787849834512,0.31782790352266,0.220041735087403,0.524495368503448,0.149879951765002,0.799694423907049,0.310662409266951,0.168915246911655,0.160812086764275
26,-0.119376549388169,0.0220570971898841,0.313034819579222,0.359586029341451,0.512344820332533,0.279296865100126,0.254559395327987,0.630918652370161,0.39636430390554,0.89088589661827,0.241372845144859,0.16541071886852
27,0.256155654991622,0.0339888658899244,0.447386940027953,0.360289009255239,0.295650433937268,0.0833780872385819,0.633154942068905,0.893755260974429,0.342639581227822,0.24951800329582,0.716301064135963,0.346014106148776
28,-0.334764524955436,0.0260732309691794,0.445410624465065,0.325676375383484,0.152171751095675,0.392103190826728,0.38404318650222,0.327399985688395,0.208363163034712,0.457967590106163,0.109934789916475,0.583952531011203
29,0.109733311682703,0.0203006463898551,0.546432640479584,0.20959178523485,0.581057743344432,0.616860817290982,0.891348946609568,0.997943416473456,0.604539063001355,0.820291282273913,0.901593421483202,0.379838224089428
30,0.297864892794913,0.0249579035282484,0.933911784552934,0.948451462721917,0.964826198004908,0.953603324522859,0.912429882961472,0.530312165912037,0.998052514209525,0.989151993532654,0.994916429140769,0.847548023162799
31,0.556337406323336,0.0219809675182853,0.0431540250603214,0.891170705737549,0.0277572775808987,0.433538185866049,0.233999765865639,0.63034278178613,0.795999265921838,0.221019963250312,0.182825225649039,0.585610572078613
32,0.512578783639104,0.0149926931988737,0.410214927913088,0.329669078630601,0.680167223453688,0.592828186282716,0.311431870463199,0.415609398954369,0.724703870455948,0.862155164614346,0.163430423001689,0.906541581274443
33,0.506527634492752,0.0166275878522372,0.676360262956353,0.502687412854271,0.25230771693311,0.282209026978565,0.101228816661153,0.676208260377395,0.259728841510167,0.830651333747154,0.988431963003301,0.340540467922944
34,-0.0344986078056953,0.0580445888629383,0.533266677880172,0.690786545967495,0.34021622578525,0.304161930815247,0.494363210267204,0.533821966215978,0.741797377800079,0.502352285871255,0.619136659279696,0.722803138905538
35,0.108234857254499,0.0475717900561919,0.647818354259458,0.343763939383856,0.262859146092605,0.114961286538952,0.600814935061391,0.0124093911338558,0.270331331528554,0.691766698986261,0.562207622271718,0.370379022897944
36,0.0532889820653114,0.0209728039838304,0.966003064390691,0.904122678405499,0.876927001332218,0.780351099197256,0.992362818196446,0.180214705696476,0.833676735404717,0.421800835273209,0.956370002644008,0.872339924378686
37,0.444672344233314,0.0220850492214504,0.930439105428928,0.949971877497648,0.45144067776314,0.541862118320149,0.990704774437564,0.9551764338501,0.485904484500146,0.957195521112676,0.948217120150371,0.0439296421915592
38,0.617872486643319,0.0439510532758317,0.0770577983603707,0.0402353661019071,0.328905874510326,0.729297129935804,0.472258460267399,0.793041866010248,0.36800489267302,0.225094567742007,0.591935398159939,0.57102241686461
39,0.162366156474383,0.0154163699556299,0.656830405055414,0.0304048528620695,0.569069902305022,0.248840963574712,0.00916650269997123,0.530471186189343,0.139092498592814,0.0971242688143732,0.656652688781208,0.297244560282055
40,0.345314022593776,0.027129724525728,0.440324656321978,0.168073026513092,0.10637400949003,0.0943885480796472,0.281075787501522,0.832429806850641,0.227440310185145,0.506900093288854,0.271662426788534,0.335525597207939
41,0.287085573795789,0.0434314764060884,0.247158551563278,0.267368822012971,0.294971887026186,0.234292606032585,0.426605069625667,0.00588437626318471,0.151373250450078,0.275868223252874,0.308460796108146,0.0054711793451833
42,0.200372151118616,0.0230665377175157,0.792990124146947,0.632143686918364,0.502431969627707,0.0394160398125667,0.937380740847369,0.585574217263117,0.472903792866115,0.103979170544408,0.708125961491519,0.899579762592978
43,-0.170959066150646,0.0264089749961242,0.93176243395296,0.569717170168684,0.548714340608126,0.572103560594859,0.195039907190484,0.98398323780897,0.368949065375804,0.605063753388008,0.885007758326124,0.840604991699719
44,-0.088413289216588,0.0218867670598249,0.460529363255944,0.99178441639709,0.433367888948687,0.363928369290877,0.54094526359257,0.765131922356233,0.497944749413442,0.714586512039026,0.860108290854056,0.523465656046464
45,-0.162011758068983,0.0169085256763576,0.297556288753876,0.163376137240943,0.129046407907696,0.0982641767166174,0.246698930236501,0.108368134517598,0.0210824881986535,0.106101615382346,0.304306457466281,0.324236663423552
46,0.443498885461662,0.0219615473360587,0.703880366616438,0.766137310192138,0.38464497205888,0.228741037339285,0.738378395905917,0.733064310038733,0.768021086701196,0.951810201197539,0.804127077994927,0.851679633151944
47,0.507085800589379,0.0272302404471397,0.588928694713659,0.883642274872804,0.47508849304146,0.957226385634869,0.941256685017773,0.732158088449102,0.916743596813745,0.697245919197651,0.838699360323127,0.97866674777031
48,-0.156285908763517,0.0227938371430512,0.164173747903685,0.7771355008535,0.367375413380218,0.381041933989646,0.829100530460187,0.780812487250388,0.789791685617277,0.744902388437347,0.144273977367524,0.00372915729986746
49,0.0064812522755189,0.0248462589886016,0.975362080759816,0.754798331074921,0.980359992645557,0.939256187506262,0.648554813407338,0.880921049597014,0.789530817922337,0.934816402590756,0.602951310143338,0.732826113818943
50,0.594618017307509,0.0331551206070509,0.0969116703235259,0.135759141603902,0.138245005122031,0.0282084385991108,0.103034540778896,0.0172582080775382,0.449448826311094,0.33363247397327,0.927038972735384,0.0433743739479251
51,0.247979064585103,0.0310468129678291,0.628512069827021,0.973134444684321,0.197889432821417,0.562398565744885,0.0712209735291036,0.429641128195468,0.451465320610769,0.291931387915349,0.586709642269876,0.828039123746253
52,0.50662316793205,0.0212048897322101,0.360483613996778,0.956274015937437,0.868093836850187,0.694744623366969,0.592894300231049,0.86040325917076,0.153317632963614,0.888515416841319,0.910096859269316,0.292195189382848
53,-0.195191621385834,0.0243345286637658,0.2458767133141,0.444422481373341,0.861139544734102,0.18117818417569,0.0809419176617193,0.393578446899242,0.814834631420498,0.48734419775922,0.521774016450641,0.428357386655898
54,-0.125869062791999,0.0346387630116312,0.274279774515296,0.396502569093637,0.361870798937374,0.948681798437874,0.871467834855402,0.571034651489452,0.0679316974159096,0.0311648419192959,0.292702022985294,0.514379171344609
55,0.0559806638521975,0.0260912617440139,0.903895507551861,0.159108686349491,0.872701374010081,0.18428382196985,0.0194027549120608,0.289715570419522,0.528013707830597,0.490765356933342,0.921496504722569,0.463503643002375
56,0.0413132361248491,0.0254080686981065,0.384030766326879,0.557536078851224,0.346926830260518,0.00619538304098745,0.44044220430007,0.41697554928888,0.25150874665087,0.285887547733307,0.0153566561979259,0.0183001839210196
57,0.388674157709065,0.048374623605876,0.483710713179084,0.800270927345311,0.522287455135572,0.710429401622978,0.866861617015796,0.399396363270897,0.443432009324894,0.469052099145629,0.393715449186669,0.53749206383223
58,-0.148322863076547,0.033544213672055,0.788791062299946,0.356099951057548,0.419002473097442,0.47156487828503,0.865947052963035,0.464072038200913,0.826539739569311,0.712116513455031,0.399751710251704,0.108671053138029
59,-0.0335027962378671,0.0310009706246893,0.0137930291650271,0.00885116766712864,0.000784398376652238,0.00458993486349319,0.07688457451637,0.1402795650822,0.290014190195474,0.55771619983139,0.0297149353308864,0.00978015844363307
60,0.0469292122800546,0.0284680520579562,0.487480493226787,0.489276415447472,0.062347889953515,0.139055686788709,0.986510094458223,0.483882099209556,0.562884676598742,0.448452143886818,0.353705950316081,0.565024782085999
61,0.152940002859115,0.032447530107364,0.250366837562474,0.865844801313068,0.443547926978364,0.839650670198047,0.148902364853612,0.616245141908035,0.241876656224336,0.6470984306751,0.797576926750892,0.436971638007137
62,-0.0563575625799798,0.0457819379686019,0.743494693185387,0.0365843975832803,0.802197472795707,0.841034552905341,0.544465606310775,0.819568398493479,0.0333584784382142,0.505187066897207,0.74595214616333,0.357585218457572
63,0.21321138064817,0.0181615802302902,0.339378190803886,0.823274403672514,0.995149758600235,0.977202693486811,0.820493307404467,0.989617475329038,0.958013902210275,0.413940129869849,0.995097736855744,0.98425280843432
64,0.372941545164852,0.0261040272015918,0.595598445431994,0.685338610199501,0.349854964025838,0.979098699989414,0.716347491572686,0.283333370884556,0.915437457199878,0.318762047552095,0.339132826909657,0.746337506906366
65,0.277745007179901,0.0230574917632414,0.794999550621921,0.169002946180131,0.446625174322925,0.332395894690722,0.664801056231467,0.39544493929022,0.821799225844112,0.707090811409441,0.215976158715049,0.0609175389736428
66,0.470653747404419,0.0275450981391851,0.402260932366265,0.468946935529388,0.238377157739325,0.21729153656017,0.580789635421424,0.565271567573764,0.20508483739737,0.458979166841923,0.671415167097676,0.806831325312292
67,0.447507547046273,0.0282983315296016,0.770454868178214,0.913622483234568,0.0796519127252261,0.961713902648087,0.285519945218217,0.903667479854032,0.800660512360843,0.536230398020091,0.543281229335651,0.855138572444577
68,0.537329358142373,0.0196479823478122,0.432086875288934,0.914453351628676,0.933176815138798,0.955266877656027,0.778112747233661,0.82495451528163,0.640861185076446,0.820946633845913,0.851690769534645,0.513140797619891
69,0.179200188434886,0.0213817985543812,0.282544273377687,0.962567377192224,0.991053270869934,0.515186637842503,0.890291797210821,0.913324807248042,0.447810999534492,0.539334404233189,0.84642650565843,0.696850259776446
70,0.128404315431566,0.0170085008017107,0.0777687567616075,0.640696382000439,0.137901773250328,0.34855929422623,0.847662944694215,0.521780686289668,0.762108916540537,0.0678779052441802,0.17853350093408,0.163050519075464
71,0.327167079242241,0.0303948436487136,0.340983271164845,0.979222077082379,0.996567169775472,0.909626214641467,0.385516364526974,0.966385117721369,0.083130003974723,0.802533587901451,0.809326247578999,0.824893444786538
72,0.521597444335209,0.027697854719356,0.381909636556394,0.806670694101132,0.907565586926488,0.903726068907428,0.899968821678804,0.738499484604312,0.813061838622156,0.116253257188743,0.751637103012761,0.465770134572105
73,-0.216808284414298,0.0347413335549466,0.899989702907762,0.498414480454886,0.412418596138591,0.760366571188528,0.757448087644791,0.887328438465942,0.921680634665396,0.830653950543344,0.930765759146809,0.947071633230638
74,0.118899878568791,0.0291885125090357,0.026629830133736,0.0193243853981975,0.0387139261877534,0.00356048293424935,0.0122101369534387,0.00501588372671129,0.250161838669057,0.0679732410317556,0.0069996268022854,0.0769567710675505
75,0.236900226020823,0.0251199341966324,0.898366523037236,0.632188044999548,0.902771740339141,0.458939497396843,0.686928694995195,0.828245271525504,0.265264129902409,0.0687014064485495,0.9629478544264,0.306279561349076
76,-0.243936141673227,0.0340493300779993,0.596725106940142,0.277563016060271,0.641293027528585,0.359378145319734,0.352623681326405,0.587038654732542,0.653057975662831,0.316278169098571,0.554372306892012,0.193145949336966
77,-0.0265236811738125,0.0306287045208273,0.633534292032889,0.0756571345474368,0.225721289227875,0.203052980721649,0.0377557623287879,0.100175218296202,0.0532751838317326,0.338246663423631,0.578204523651346,0.206990753140186
78,0.445766180709709,0.015833850404569,0.191929946217777,0.826472851187008,0.936137163750483,0.181024195119313,0.855635064056269,0.705610334604315,0.728002223959628,0.519640313957972,0.509662704502706,0.543097220581843
79,0.127676637327522,0.0191120992825448,0.625208418717622,0.309894007729106,0.557647813733762,0.374682979420803,0.319947089958639,0.789619939036045,0.621593779649267,0.306303479863867,0.648768136065992,0.608976390601317
